subject,Language,thing,color,
36,Spanish,focal yellow,B6,
36,Spanish,focal grey,,
36,Spanish,focal purple / violet,H16,
36,Spanish,focal orange,E2,
36,Spanish,focal brown,H4,
36,Spanish,focal pink,E20,
36,Spanish,focal celeste,E14,
37,Spanish,cloud,2,
37,Spanish,dirt,10,
37,Spanish,grass / leaf,5,
37,Spanish,hair,1,
37,Spanish,teeth,2,
37,Spanish,rice,2,
37,Spanish,unripe bananas,5,
37,Spanish,ripe banana,6,
37,Spanish,sky,4,
37,Spanish,corn,2,
37,Spanish,yuca (inside),2,
37,Spanish,yuca (outside),10,
37,Spanish,blood,3,
37,Spanish,fire,9,
37,Spanish,carrot,9,
37,Spanish,tomato,3,
37,Spanish,focal red,H1,
37,Spanish,focal blue,H15,
37,Spanish,focal green,H7,
37,Spanish,focal yellow,C3,
37,Spanish,focal grey,,
37,Spanish,focal purple / violet,H17,
37,Spanish,focal orange,F2,
37,Spanish,focal brown,H3,
37,Spanish,focal pink,F20,
37,Spanish,focal celeste,E15,
38,Spanish,cloud,12,
38,Spanish,dirt,10,
38,Spanish,grass / leaf,5,
38,Spanish,hair,1,
38,Spanish,teeth,2,
38,Spanish,rice,2,
38,Spanish,unripe bananas,5,
38,Spanish,ripe banana,6,
38,Spanish,sky,12,
38,Spanish,corn,2,
38,Spanish,yuca (inside),2,
38,Spanish,yuca (outside),10,
38,Spanish,blood,3,
38,Spanish,fire,3,
38,Spanish,carrot,9,
38,Spanish,tomato,3,
38,Spanish,focal red,F1,
38,Spanish,focal blue,H15,
38,Spanish,focal green,H10,
38,Spanish,focal yellow,B5,
38,Spanish,focal grey,,
38,Spanish,focal purple / violet,H16,
38,Spanish,focal orange,E2,
38,Spanish,focal brown,H2,
38,Spanish,focal pink,D1,
38,Spanish,focal celeste,E14,
39,Spanish,cloud,4,
39,Spanish,dirt,10,
39,Spanish,grass / leaf,5,
39,Spanish,hair,1,
39,Spanish,teeth,2,
39,Spanish,rice,2,
39,Spanish,unripe bananas,6,
39,Spanish,ripe banana,6,
39,Spanish,sky,4,
39,Spanish,corn,2,
39,Spanish,yuca (inside),2,
39,Spanish,yuca (outside),10,
39,Spanish,blood,3,
39,Spanish,fire,9,
39,Spanish,carrot,9,
39,Spanish,tomato,3,
39,Spanish,focal red,F1,
39,Spanish,focal blue,G15,
39,Spanish,focal green,G9,
39,Spanish,focal yellow,D5,
39,Spanish,focal grey,,
39,Spanish,focal purple / violet,F17,
39,Spanish,focal orange,E2,
39,Spanish,focal brown,H3,
39,Spanish,focal pink,F20,
39,Spanish,focal celeste,F15,
40,Spanish,cloud,2,
40,Spanish,dirt,10,
40,Spanish,grass / leaf,5,
40,Spanish,hair,1,
40,Spanish,teeth,2,
40,Spanish,rice,2,
40,Spanish,unripe bananas,5,
40,Spanish,ripe banana,6,
40,Spanish,sky,12,
40,Spanish,corn,2,
40,Spanish,yuca (inside),2,
40,Spanish,yuca (outside),10,
40,Spanish,blood,3,
40,Spanish,fire,3,
40,Spanish,carrot,9,
40,Spanish,tomato,3,
40,Spanish,focal red,F1,
40,Spanish,focal blue,H15,
40,Spanish,focal green,H9,
40,Spanish,focal yellow,A5,
40,Spanish,focal grey,,
40,Spanish,focal purple / violet,H17,
40,Spanish,focal orange,D2,
40,Spanish,focal brown,H3,
40,Spanish,focal pink,E2,
40,Spanish,focal celeste,D15,
41,Spanish,cloud,2,
41,Spanish,dirt,10,
41,Spanish,grass / leaf,5,
41,Spanish,hair,1,
41,Spanish,teeth,2,
41,Spanish,rice,2,
41,Spanish,unripe bananas,5,
41,Spanish,ripe banana,6,
41,Spanish,sky,12,
41,Spanish,corn,2,
41,Spanish,yuca (inside),2,
41,Spanish,yuca (outside),10,
41,Spanish,blood,3,
41,Spanish,fire,3,
