subject,order,color_object label,response,Isabel Time,Rashida Time
1828,6,F17,6,16.10,16.06
1828,7,B13,4,15.22,15.02
1828,8,F5,10,13.26,12.03
1828,9,F13,4,2.80,1.86
1828,10,A16,2,0.94,0.95
1828,11,G14,4,2.01,1.08
1828,12,D5,12,5.45,4.6
1828,13,F9,5,1.00,1.16
1828,14,B1,3,16.28,19.65
1828,15,H7,1,2.55,2.06
1829,1,banana,pe're,1.69,1.35
1829,2,tomato,tomati,1.67,1.38
1829,5,cup,vaso,1.16,0.9
1829,3,comb,petsi,1.26,0.96
1829,7,leaf,shan,3.23,1.92
1829,6,fan,fijfity,0.94,0.86
1829,8,stick,shIru',1.23,1.15
1829,4,rock,mij,1.19,1.08
1829,1,B4,12,14.04,24
1829,2,G4,10,4.64,3.6
1829,3,F17,4,8.12,6.33
1829,4,B13,12,9.54,8.76
1829,5,H9,5,1.88,2.15
1829,6,H17,washes,11.87,11.6
1829,7,F5,7,4.02,2.48
1829,8,F13,5,1.77,2.55
1829,9,F1,3,1.88,1.4
1829,10,A16,7,4.88,4.65
1829,11,G14,12,2.26,3.98
1829,12,D5,12,13.99,8.56
1829,13,F9,5,2.49,1.7
1829,14,B1,3,10.71,10.7
1829,15,H7,1,1.62,1.65
1830,1,banana,pe're,0.84,0.57
1830,3,tomato,tomati,1.36,0.95
1830,4,cup,vaso,1.36,1.2
1830,2,comb,petsi,1.53,0.8
1830,7,leaf,shan,1.84,1.36
1830,6,fan,fijfity,1.62,1.2
1830,8,stick,shIru',2.66,2.36
1830,5,rock,mij,1.53,1.1
1830,1,F1,3,2.35,1.96
1830,2,A16,2,2.49,1.85
1830,3,G14,5,18.90,24.66
1830,4,D5,6,2.45,2.33
1831,2,banana,pe're,0.94,0.6
1831,3,tomato,tomati,1.98,1.52
1831,5,cup,vaso,0.76,0.48
1831,6,comb,petsi,1.12,0.78
1831,8,leaf,paya,2.96,2.68
1831,1,fan,fijfity,3.15,2.77
1831,7,stick,shuru',2.29,1.8
1831,4,rock,mij,1.18,0.8
1831,1,F1,3,1.34,0.95
1831,2,A16,2,1.12,0.93
1831,3,G14,5,1.31,1.18
1831,4,D5,chakbas,18.18,18.2
1831,5,F9,5,2.56,2.37
1831,6,B1,chakbas,14.39,15.77
1831,7,H7,1,4.78,4.87
1831,8,B4,chakbas,1.88,1.98
1831,9,G4,1,2.94,3.04
1831,10,F17,8,28.20,28.04
1831,11,B13,5,4.77,4.78
1831,12,H9,1,20.63,20.57
1831,13,H17,8,38.13,38.24
1831,14,F5,5,1.64,1.5
1831,15,F13,5,1.45,1.24
1718,,banana,pe're,2.06,1.75
1718,,tomato,tomati,0.47,0.65
1718,,cup,vaso,0.85,1.15
1718,,comb,petsi,1.30,0.97
1718,,leaf,,1.18,0.75
1718,,fan,fijfity,1.36,0.8
1718,,stick,shiru',1.48,1.36
1718,,rock,mij,1.13,0.6
1718,1,H17,8,2.70,2.48
1718,2,H9,5,1.52,0.76
1718,3,G14,1,3.02,3.26
1718,4,G4,10,2.20,1.53
1718,5,B4,maraca,2.67,1.65
1718,6,B1,12,5.50,5.03
1718,7,H7,8,2.39,1.45
1718,8,A16,2,1.48,1.44
1718,9,F1,3,4.17,4.2
1718,10,F9,5,2.02,1.36
1718,11,D5,maraca,2.75,2.01
1718,12,B13,5,4.20,3.03
1718,13,F5,10,1.15,0.85
1718,14,F13,5,1.85,0.75
1718,15,F17,8,1.96,1.06
1719,,banana,pe're,2.88,1.1
1719,,tomato,tomati,0.76,0.81
1719,,cup,tasa,1.87,1.5
1719,,comb,petsi,0.92,0.76
1719,,leaf,shan,1.02,0.66
1719,,fan,fijfity,1.18,0.85
1719,,stick,shiru',1.16,0.83
1719,,rock,mij,0.65,1.15
